,precision,recall,f1-score,support
Night suits,1.0,0.3333333333333333,0.5,9.0
Nightdress,0.0,0.0,0.0,1.0
Patiala,0.5714285714285714,1.0,0.7272727272727273,4.0
Pendant,1.0,1.0,1.0,2.0
Perfume and Body Mist,0.8620689655172413,0.7575757575757576,0.8064516129032258,33.0
Rain Jacket,0.0,0.0,0.0,0.0
Rain Trousers,0.0,0.0,0.0,0.0
Ring,0.0,0.0,0.0,0.0
Robe,0.0,0.0,0.0,0.0
Rompers,1.0,0.5,0.6666666666666666,4.0
Rucksacks,0.0,0.0,0.0,0.0
Salwar,1.0,0.5,0.6666666666666666,2.0
Salwar and Dupatta,1.0,1.0,1.0,1.0
Sandals,0.7840909090909091,0.8625,0.8214285714285714,80.0
Sarees,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
Scarves,0.6,0.6,0.6,10.0
Shapewear,0.0,0.0,0.0,0.0
Shirts,0.8389830508474576,0.9295774647887324,0.8819599109131403,213.0
Shoe Accessories,0.0,0.0,0.0,2.0
Shoe Laces,0.0,0.0,0.0,0.0
Shorts,0.7719298245614035,0.9361702127659575,0.8461538461538461,47.0
Shrug,0.0,0.0,0.0,0.0
Skirts,0.6,0.5,0.5454545454545454,6.0
Socks,0.9318181818181818,0.9761904761904762,0.9534883720930233,42.0
Sports Sandals,0.0,0.0,0.0,5.0
Sports Shoes,0.7888198757763976,0.8819444444444444,0.8327868852459016,144.0
Stockings,1.0,1.0,1.0,2.0
Stoles,0.6666666666666666,0.4,0.5,5.0
Sunglasses,1.0,1.0,1.0,90.0
Suspenders,1.0,1.0,1.0,1.0
Sweaters,0.5384615384615384,0.4666666666666667,0.5,15.0
Sweatshirts,0.6666666666666666,0.4,0.5,25.0
Swimwear,0.0,0.0,0.0,3.0
Tablet Sleeve,0.0,0.0,0.0,1.0
Ties,0.9285714285714286,1.0,0.9629629629629629,13.0
Ties and Cufflinks,0.0,0.0,0.0,0.0
Tights,0.0,0.0,0.0,1.0
Tops,0.6696428571428571,0.6048387096774194,0.635593220338983,124.0
Track Pants,0.8181818181818182,0.47368421052631576,0.6,19.0
Tracksuits,0.3333333333333333,1.0,0.5,2.0
Travel Accessory,0.0,0.0,0.0,1.0
Trolley Bag,0.0,0.0,0.0,0.0
Trousers,0.9032258064516129,0.7777777777777778,0.835820895522388,36.0
Trunk,0.4444444444444444,1.0,0.6153846153846154,4.0
Tshirts,0.8927272727272727,0.958984375,0.9246704331450094,512.0
Tunics,1.0,0.25,0.4,8.0
Umbrellas,0.0,0.0,0.0,0.0
Waist Pouch,0.0,0.0,0.0,1.0
Waistcoat,0.0,0.0,0.0,1.0
Wallets,0.9016393442622951,0.9166666666666666,0.9090909090909091,60.0
Watches,0.9723502304147466,0.9906103286384976,0.9813953488372092,213.0
Water Bottle,0.0,0.0,0.0,1.0
Wristbands,0.0,0.0,0.0,0.0
accuracy,0.8334482758620689,0.8334482758620689,0.8334482758620689,0.8334482758620689
macro avg,0.5030091360517094,0.4610214683055993,0.46285184272405105,2900.0
weighted avg,0.8277280970344346,0.8334482758620689,0.8218492526701265,2900.0
