id,group_key,split
2089,group_351,train
2090,group_352,train
2091,group_353,train
2092,group_354,train
2093,group_355,train
2094,group_356,train
2095,group_357,test
2096,group_358,train
2097,group_359,train
2098,group_360,train
2099,group_361,train
2100,group_362,validation
2101,group_363,train
2102,group_364,train
2103,group_365,validation
2104,group_366,train
2105,group_367,train
2106,group_368,train
2107,group_369,train
2108,group_370,train
2109,group_371,validation
2110,group_372,test
2111,group_373,train
2112,group_374,train
2113,group_375,train
2114,group_376,train
2115,group_377,train
2116,group_378,train
2117,group_379,train
2118,group_380,train
2119,group_381,train
2120,group_382,train
2121,group_383,train
2122,group_384,train
2123,group_385,train
2124,group_386,train
2125,group_387,train
2126,group_388,validation
2127,group_389,train
2128,group_390,train
2129,group_391,train
2130,group_392,train
2131,group_393,train
2132,group_394,validation
2133,group_395,train
2134,group_396,validation
2135,group_397,test
2136,group_398,train
2137,group_399,train
2138,group_400,train
2139,group_401,train
2140,group_8990,train
2141,group_403,train
2142,group_404,validation
2143,group_405,test
2144,group_406,train
2145,group_407,train
2146,group_408,train
2147,group_409,train
2148,group_410,train
2149,group_411,train
2150,group_412,train
2151,group_413,train
2152,group_414,train
2153,group_415,train
2154,group_416,validation
2155,group_417,train
2156,group_418,train
2157,group_419,validation
2158,group_420,train
2159,group_421,train
2160,group_422,train
2161,group_423,train
2162,group_424,train
2163,group_425,train
2164,group_426,test
2165,group_427,train
2166,group_428,train
2167,group_429,train
2168,group_430,train
2169,group_431,train
2170,group_432,train
2171,group_433,validation
2172,group_434,validation
2176,group_435,train
2177,group_436,train
2179,group_437,train
2180,group_438,train
2181,group_439,train
2182,group_440,train
2183,group_441,validation
2184,group_442,train
2185,group_443,test
2187,group_444,validation
2188,group_445,train
2189,group_446,train
2190,group_447,train
2191,group_448,train
2192,group_449,train
2193,group_450,train
2194,group_451,train
2195,group_452,train
2196,group_453,train
2197,group_454,test
2198,group_455,validation
2199,group_456,train
2200,group_457,train
2201,group_458,validation
2202,group_459,train
2203,group_460,train
2204,group_458,validation
2205,group_462,train
2206,group_463,train
2207,group_464,train
2208,group_465,train
2209,group_466,train
2210,group_467,train
2211,group_468,train
2212,group_469,train
2213,group_470,train
2214,group_471,train
2215,group_472,train
2216,group_473,test
2217,group_474,train
2218,group_475,validation
2219,group_476,test
2220,group_477,train
2221,group_478,train
2222,group_479,test
2223,group_480,validation
2224,group_481,train
2225,group_482,test
2226,group_483,train
2227,group_484,test
2228,group_485,train
2229,group_486,train
2230,group_487,test
2231,group_488,test
2232,group_489,train
2233,group_490,train
2234,group_491,train
2235,group_492,train
2237,group_493,train
2238,group_494,validation
2239,group_495,train
2240,group_496,train
2241,group_497,train
2242,group_498,validation
2243,group_499,train
2244,group_500,train
2245,group_501,train
2246,group_502,validation
2247,group_503,train
2248,group_504,train
2249,group_505,train
2250,group_506,train
2251,group_507,test
2252,group_508,train
2253,group_509,train
2254,group_510,train
2255,group_511,train
2256,group_512,train
2257,group_513,train
2259,group_514,validation
2260,group_515,train
2261,group_516,train
2262,group_517,train
2263,group_518,train
2264,group_519,train
2265,group_520,train
2266,group_521,train
2267,group_522,train
2268,group_523,train
2269,group_524,train
2270,group_525,validation
2271,group_526,train
2272,group_515,train
2273,group_526,train
2274,group_529,validation
2275,group_530,train
2276,group_531,train
2278,group_532,train
2279,group_533,train
2280,group_534,train
2282,group_535,test
2283,group_536,train
2284,group_537,train
2285,group_538,train
2286,group_539,test
2287,group_540,train
2288,group_541,train
2289,group_542,test
2290,group_543,validation
2291,group_544,train
2292,group_545,validation
2293,group_546,validation
2294,group_547,train
2295,group_548,train
2296,group_549,train
2297,group_550,train
2298,group_551,train
2299,group_552,test
2300,group_553,train
2301,group_554,validation
2302,group_555,train
2303,group_556,validation
2304,group_557,validation
2305,group_558,train
2306,group_559,train
2307,group_552,test
2309,group_561,validation
2310,group_562,test
2311,group_563,train
2312,group_564,train
2313,group_565,train
2314,group_566,validation
2315,group_567,train
2316,group_568,train
2317,group_569,test
2318,group_570,train
2319,group_571,validation
2320,group_572,train
2321,group_573,train
2322,group_574,train
2323,group_575,train
2324,group_576,train
2325,group_577,test
2326,group_578,train
2327,group_579,train
2328,group_580,train
2329,group_581,train
2330,group_582,validation
2331,group_583,train
2332,group_584,test
2333,group_585,train
2334,group_586,train
2335,group_118,validation
2336,group_588,train
2337,group_589,test
2338,group_590,train
2339,group_591,train
2340,group_592,train
2341,group_593,validation
2342,group_594,train
2343,group_595,test
2344,group_596,validation
2345,group_597,test
2346,group_598,train
2347,group_599,test
2348,group_600,test
2349,group_601,train
2350,group_602,validation
2351,group_603,train
2353,group_604,test
2354,group_605,test
2355,group_606,test
2356,group_607,train
2357,group_608,train
2358,group_609,validation
2359,group_610,train
2360,group_611,train
2361,group_612,test
2362,group_613,train
2363,group_502,validation
2364,group_615,train
2365,group_616,train
2366,group_617,train
2367,group_618,validation
2368,group_619,validation
2369,group_620,validation
2370,group_621,train
2371,group_622,train
2372,group_623,train
2373,group_624,test
2374,group_625,train
2375,group_626,validation
2376,group_627,validation
2377,group_628,test
2378,group_629,train
2379,group_630,train
2380,group_631,train
2381,group_632,validation
2382,group_633,test
2383,group_634,train
2384,group_635,train
2385,group_636,train
2387,group_637,test
2388,group_638,train
2389,group_639,train
2390,group_640,train
2391,group_641,train
2393,group_642,train
2394,group_643,train
2396,group_644,train
2397,group_645,train
2398,group_640,train
2399,group_647,train
2400,group_648,test
2401,group_649,train
2402,group_650,validation
2403,group_651,train
2467,group_652,validation
2474,group_653,train
2477,group_654,train
2478,group_655,train
2479,group_656,train
2480,group_657,test
2481,group_658,train
2482,group_659,train
2483,group_660,validation
2484,group_661,validation
2485,group_662,train
2486,group_663,test
2487,group_664,train
2488,group_665,train
2489,group_666,train
2490,group_667,train
2491,group_668,train
2492,group_669,train
2493,group_670,train
2494,group_671,train
2495,group_672,train
2496,group_673,validation
2497,group_674,train
2498,group_675,test
2499,group_676,train
2500,group_677,test
2501,group_678,train
2502,group_679,train
2503,group_680,train
2504,group_681,test
2505,group_682,train
2506,group_683,train
2507,group_684,train
2508,group_683,train
2509,group_686,train
2510,group_687,train
2511,group_688,train
2540,group_687,train
2541,group_690,train
2542,group_691,validation
2543,group_692,test
2544,group_693,validation
2545,group_694,train
2546,group_695,validation
2547,group_696,validation
2548,group_697,validation
2549,group_698,train
2550,group_699,train
2551,group_700,train
2552,group_701,train
2553,group_702,train
2554,group_703,validation
2555,group_704,validation
2556,group_705,train
2557,group_706,train
2558,group_707,train
2559,group_708,test
2562,group_55,test
2564,group_710,train
2572,group_711,train
2574,group_712,test
2576,group_713,validation
2577,group_714,train
2578,group_715,train
2579,group_716,train
2580,group_717,train
2582,group_718,train
2584,group_719,validation
2585,group_720,test
2586,group_721,test
2587,group_722,train
2588,group_723,train
2589,group_724,train
2590,group_725,train
2591,group_726,train
2601,group_727,train
2602,group_728,train
2603,group_729,train
2604,group_730,train
2605,group_731,train
2606,group_333,test
2607,group_733,test
2608,group_734,train
2609,group_735,validation
2610,group_736,validation
2611,group_737,train
2612,group_738,test
2613,group_739,test
2614,group_740,train
2615,group_741,validation
2616,group_742,train
2617,group_743,test
2618,group_744,train
2619,group_745,train
2620,group_746,train
2621,group_747,train
2622,group_748,train
2623,group_749,train
2624,group_750,train
2625,group_751,validation
2626,group_752,validation
2627,group_753,train
2628,group_754,validation
2629,group_755,train
2630,group_756,validation
2631,group_757,validation
2632,group_758,train
2633,group_759,train
2634,group_760,test
2635,group_761,train
2636,group_762,train
2637,group_763,train
2638,group_764,test
2639,group_765,train
2640,group_764,test
2641,group_767,test
2642,group_768,train
2644,group_769,validation
2645,group_770,train
2647,group_771,train
2648,group_772,train
2649,group_773,train
2650,group_774,train
2651,group_775,validation
2653,group_776,validation
2654,group_777,train
2655,group_778,train
2656,group_779,train
2657,group_780,train
2658,group_781,test
2659,group_782,train
2661,group_783,train
2662,group_784,train
2663,group_785,train
2664,group_786,train
2665,group_787,train
2666,group_788,train
2667,group_789,train
2668,group_790,train
2669,group_791,test
2670,group_792,train
2671,group_793,train
2672,group_794,test
2673,group_795,train
2674,group_796,train
2675,group_797,train
2676,group_798,test
2677,group_799,train
2678,group_800,validation
2679,group_801,train
2680,group_802,train
2681,group_803,train
2682,group_804,validation
2683,group_805,train
2684,group_806,train
2685,group_807,train
2686,group_808,train
2687,group_809,train
2688,group_810,validation
2689,group_811,train
2691,group_812,test
2693,group_813,test
2694,group_814,train
2695,group_815,test
2697,group_816,train
2699,group_817,train
2700,group_818,train
2701,group_819,test
2702,group_820,train
2703,group_821,train
2704,group_822,test
2705,group_823,train
2706,group_824,train
2707,group_825,train
2708,group_826,train
2710,group_827,validation
2711,group_828,train
2712,group_829,train
2714,group_830,train
2715,group_831,train
2716,group_832,train
2717,group_833,validation
2718,group_834,train
2719,group_835,validation
2720,group_836,train
2722,group_837,train
2724,group_838,test
2727,group_839,train
2728,group_840,train
2730,group_841,train
2732,group_842,test
2737,group_843,train
2738,group_844,train
2740,group_845,train
2741,group_846,train
2742,group_847,test
2743,group_848,train
2744,group_849,train
2745,group_850,train
2746,group_839,train
2747,group_852,validation
2748,group_853,train
2749,group_854,train
2750,group_855,train
2751,group_853,train
2753,group_857,train
2755,group_853,train
2757,group_859,train
2760,group_860,train
2762,group_861,train
2764,group_853,train
2766,group_863,train
2778,group_864,test
2779,group_865,train
2780,group_866,test
2781,group_867,train
2782,group_868,train
2783,group_869,train
2784,group_870,train
2785,group_871,train
2786,group_872,train
2787,group_873,train
2788,group_874,train
2800,group_875,test
2801,group_876,train
2802,group_877,train
2803,group_878,train
2805,group_879,validation
2807,group_880,train
2809,group_881,test
2812,group_882,train
2814,group_883,train
2817,group_884,train
2820,group_885,test
2821,group_886,train
2822,group_887,test
2823,group_888,train
2824,group_889,train
2825,group_890,train
2826,group_891,train
2827,group_892,validation
2828,group_893,test
2830,group_894,validation
2831,group_895,train
2832,group_896,train
2833,group_897,train
2834,group_898,train
2835,group_899,validation
2836,group_900,train
2837,group_901,train
2838,group_902,test
2840,group_903,validation
2841,group_904,train
2842,group_905,train
2843,group_906,train
2844,group_907,train
2845,group_908,train
2846,group_909,validation
2847,group_910,test
2848,group_911,train
2849,group_912,test
2850,group_913,validation
2851,group_914,train
2852,group_915,test
2853,group_916,train
2854,group_917,train
2855,group_918,validation
2856,group_919,train
2857,group_920,train
2858,group_921,test
2859,group_922,train
2860,group_923,train
2861,group_924,train
2862,group_925,test
2863,group_926,train
2865,group_927,train
2866,group_928,train
2867,group_929,train
2868,group_930,train
2869,group_931,train
2870,group_932,train
2872,group_933,train
2874,group_934,test
2876,group_935,train
2877,group_936,train
2878,group_937,train
2879,group_938,train
2880,group_939,validation
2882,group_940,validation
2885,group_941,train
2886,group_942,train
2887,group_943,validation
2888,group_944,train
2889,group_945,train
2890,group_946,train
2892,group_947,train
2893,group_948,validation
2894,group_949,train
2895,group_950,train
2897,group_951,test
2899,group_952,test
2900,group_953,train
2901,group_954,train
2903,group_955,train
2910,group_956,train
2912,group_957,validation
2915,group_958,train
2916,group_959,test
2918,group_960,train
2920,group_961,train
2921,group_962,train
2922,group_963,train
2923,group_964,train
2928,group_965,train
2931,group_966,validation
2934,group_967,train
2936,group_968,validation
2937,group_969,validation
2938,group_970,train
2939,group_971,test
2940,group_972,train
2944,group_973,train
2947,group_974,validation
2953,group_975,validation
2954,group_976,train
2956,group_977,train
2963,group_978,train
2964,group_979,test
2965,group_980,train
2966,group_981,test
2967,group_982,train
2969,group_983,test
2970,group_984,train
2971,group_985,train
2972,group_986,train
2973,group_987,train
2974,group_988,test
2975,group_989,validation
2976,group_990,train
2977,group_991,validation
2978,group_992,train
2979,group_993,train
2980,group_994,train
2981,group_995,train
2982,group_996,test
2983,group_997,train
2984,group_998,train
2985,group_999,train
2986,group_1000,train
2987,group_1001,train
2988,group_1002,validation
2994,group_1003,train
2996,group_1004,train
3009,group_1005,validation
3011,group_1006,test
3012,group_1007,train
3013,group_1008,train
3014,group_1009,train
3015,group_1010,train
3016,group_1011,validation
3017,group_1012,train
3018,group_1013,train
3019,group_1014,validation
3020,group_1015,validation
3021,group_1016,test
3023,group_1017,train
3027,group_1018,train
3028,group_1019,train
3029,group_1020,train
3042,group_1021,train
3043,group_1022,test
3044,group_1023,train
3045,group_1024,train
3046,group_1025,train
3047,group_1026,test
3048,group_1027,test
3049,group_1028,train
3050,group_1029,train
3051,group_1030,train
3052,group_1031,train
3054,group_1032,validation
3055,group_1033,train
3056,group_1034,train
3057,group_1035,validation
3058,group_1036,validation
3059,group_1037,train
3060,group_1038,validation
3061,group_1039,train
3062,group_1040,train
3063,group_1041,train
3064,group_1042,train
3065,group_1043,train
3066,group_1044,train
3067,group_1045,train
3068,group_1046,validation
3069,group_1047,test
3070,group_1048,train
3071,group_1049,train
3072,group_1050,train
3073,group_1051,train
3074,group_1052,train
3075,group_1053,train
3077,group_1054,train
3078,group_1055,train
3079,group_1056,train
3080,group_1057,test
3081,group_1058,test
3082,group_1059,test
3084,group_1060,train
3085,group_1061,validation
3087,group_1062,validation
3088,group_1063,train
3089,group_1064,train
3095,group_1065,train
3096,group_1066,train
3098,group_1067,test
3100,group_1068,train
3101,group_1069,test
3102,group_1070,train
3103,group_1071,train
3104,group_1072,test
3105,group_1073,train
3107,group_1074,train
3108,group_1075,validation
3110,group_1076,train
3120,group_1077,test
3121,group_1078,train
3122,group_1079,train
3123,group_1080,train
3124,group_1081,train
3125,group_1082,train
3126,group_1083,train
3127,group_1084,train
3128,group_1085,test
3129,group_1086,validation
3130,group_1087,train
3131,group_1088,test
3132,group_1089,train
3134,group_1090,train
3135,group_1091,train
3136,group_1092,train
3137,group_1093,train
3139,group_1094,validation
3140,group_1095,train
3141,group_1096,train
3142,group_1097,train
3150,group_1098,test
3151,group_1099,test
3152,group_1100,train
3154,group_1101,train
3159,group_1102,test
3160,group_1103,train
3161,group_1104,train
3162,group_1105,train
3163,group_1106,test
3165,group_1107,train
3167,group_1108,train
3168,group_1109,train
3170,group_1110,train
3171,group_1111,train
3175,group_1112,validation
3177,group_1113,validation
3178,group_1114,train
3181,group_1115,train
3182,group_1116,train
3183,group_1117,train
3186,group_1118,train
3187,group_1119,test
3191,group_1120,train
3192,group_1121,train
3193,group_1122,train
3196,group_1123,train
3197,group_1124,train
3198,group_1125,train
3199,group_1126,test
3200,group_1127,train
3201,group_1128,train
3202,group_1129,train
3203,group_1130,train
3204,group_1131,validation
3205,group_1132,train
3206,group_1133,train
3207,group_1134,train
3208,group_1135,train
3209,group_1136,validation
3210,group_1137,train
3211,group_1138,validation
3212,group_1139,test
3213,group_1140,train
3214,group_1141,train
3215,group_1142,validation
3216,group_1143,train
3217,group_1144,train
3218,group_1145,train
3219,group_1146,train
3220,group_1147,train
3221,group_1148,train
3223,group_1149,validation
3225,group_1150,test
3226,group_1151,train
3227,group_1152,train
3228,group_1153,validation
3229,group_1154,validation
3230,group_1155,validation
3231,group_1156,test
3232,group_1157,validation
3235,group_1158,train
3236,group_1159,test
3237,group_1160,train
3238,group_1161,train
3239,group_1162,train
3240,group_1163,train
3241,group_1164,train
3242,group_1165,train
3243,group_1166,train
3245,group_1167,train
3246,group_1168,train
3247,group_1169,test
3248,group_1170,train
3249,group_1171,test
3250,group_1172,train
3251,group_1173,train
3252,group_1174,train
3253,group_1175,test
3254,group_1176,train
3255,group_1177,train
3256,group_1178,test
3257,group_1179,test
3258,group_1180,train
3259,group_1181,train
3260,group_1182,test
3261,group_1183,test
3262,group_1184,train
3263,group_1185,train
3264,group_1186,train
3265,group_1187,train
3266,group_1188,train
3267,group_1189,train
3268,group_1190,train
3269,group_1191,train
3270,group_1192,train
3271,group_1193,train
3272,group_1194,test
3273,group_1195,train
3274,group_1196,train
3275,group_1197,validation
3276,group_1198,train
3277,group_1199,train
3278,group_1200,train
3279,group_1201,train
3280,group_1202,train
3281,group_1203,train
3282,group_1204,train
3283,group_1205,train
3284,group_1206,test
3285,group_1207,train
3286,group_1208,train
3287,group_1209,test
3288,group_1210,train
3289,group_1211,train
3290,group_1212,train
3291,group_1213,train
3292,group_1214,validation
3293,group_1215,train
3294,group_1216,train
3295,group_1217,test
3296,group_1218,train
3297,group_1219,train
3298,group_1220,validation
3299,group_1221,train
3300,group_1222,train
3301,group_1223,test
3302,group_1224,train
3303,group_1225,train
3304,group_1226,validation
3305,group_1227,validation
3306,group_1228,train
3307,group_1229,train
3308,group_1230,train
3309,group_1231,train
3310,group_1232,train
3311,group_1233,test
3312,group_1234,train
3313,group_1235,train
3314,group_1213,train
3315,group_1213,train
3317,group_1238,train
3318,group_1239,train
3319,group_1240,test
3320,group_1241,train
3321,group_1242,validation
3322,group_1243,train
3323,group_1244,validation
3324,group_1245,train
3325,group_1246,train
3327,group_1247,train
3328,group_1248,train
3329,group_1249,train
3330,group_1250,train
3332,group_1251,validation
3333,group_1252,train
3334,group_1253,train
3335,group_1254,train
3336,group_1255,test
3337,group_1256,train
3338,group_1257,test
3339,group_1258,train
3340,group_1259,train
3341,group_1260,test
3342,group_1261,test
3343,group_1262,test
3344,group_1263,train
3345,group_1264,train
3346,group_1265,train
3347,group_1266,validation
3348,group_1267,train
3349,group_1268,train
3350,group_1269,test
3351,group_1270,train
3352,group_1271,test
3353,group_1272,train
3354,group_1273,train
3355,group_1274,train
3356,group_1275,train
3357,group_1276,validation
3358,group_1277,validation
3359,group_1278,validation
3360,group_1279,train
3361,group_1280,validation
3362,group_1281,train
3363,group_1282,train
3364,group_1283,train
3365,group_1284,validation
3366,group_1285,train
3367,group_1286,train
3370,group_1287,train
3371,group_1288,train
3372,group_1289,train
3373,group_1290,test
3374,group_1291,validation
3375,group_1292,test
3376,group_1293,validation
3378,group_1294,train
3381,group_1295,train
3382,group_1296,train
3384,group_1297,train
3385,group_1298,train
3386,group_1299,validation
3387,group_1300,train
3389,group_1301,train
3390,group_1302,test
3391,group_1303,validation
3393,group_1304,train
3395,group_1305,train
3396,group_1306,train
3397,group_1307,train
3398,group_1308,train
3399,group_1309,train
3400,group_1310,test
3401,group_1311,train
3402,group_1312,train
3404,group_1313,train
3405,group_1314,train
3406,group_1315,test
3409,group_1316,validation
3410,group_1317,test
3411,group_1318,validation
3412,group_1319,validation
3413,group_1320,train
3414,group_1321,train
3415,group_1322,train
3416,group_1323,train
3417,group_1324,train
3418,group_1325,train
3419,group_1326,train
3420,group_1327,train
3421,group_1328,train
3422,group_1329,train
3423,group_1330,train
3424,group_1331,train
3425,group_1332,train
3426,group_1333,train
3427,group_1334,train
3428,group_1335,train
3429,group_1336,train
3431,group_1337,train
3432,group_1338,train
3433,group_1339,train
3434,group_1340,train
3436,group_1341,train
3439,group_1342,train
3440,group_1343,train
3441,group_1344,train
3442,group_1345,train
3445,group_1346,train
3446,group_1347,validation
3447,group_1348,train
3448,group_1349,train
3449,group_1350,test
3450,group_1351,train
3451,group_1352,train
3452,group_1353,train
3453,group_1354,train
3454,group_1355,validation
3455,group_1356,test
3456,group_1357,test
3457,group_1358,train
3458,group_1359,train
3459,group_1360,train
3460,group_1361,test
3461,group_1362,train
3462,group_1363,train
3463,group_1364,test
3464,group_1365,validation
3465,group_1366,train
3466,group_1367,train
3467,group_1368,validation
3468,group_1369,train
3469,group_1370,train
3470,group_1371,validation
3471,group_1372,validation
3472,group_1373,train
3473,group_1374,train
3474,group_1375,train
3475,group_1376,train
3476,group_1377,train
3477,group_1378,train
3478,group_1379,test
3479,group_1380,train
3481,group_1381,train
3482,group_1382,train
3483,group_1383,train
3484,group_1384,validation
3485,group_1385,validation
3486,group_1386,validation
3487,group_1387,train
3488,group_1388,validation
3489,group_1389,train
3490,group_1390,train
3491,group_1391,train
3492,group_1392,train
3493,group_1393,test
3495,group_1394,train
3496,group_1395,train
3497,group_1396,train
3498,group_1397,train
3500,group_1398,train
3501,group_1399,train
3502,group_500,train
3503,group_1401,train
3504,group_1402,train
3505,group_1403,validation
3506,group_1404,test
3507,group_1405,test
3508,group_1406,train
3509,group_1407,train
3510,group_1408,train
3511,group_1409,train
3515,group_1410,train
3516,group_1411,train
3517,group_1412,test
3518,group_1413,train
3519,group_1414,train
3520,group_1415,train
3521,group_1416,train
3522,group_1417,train
3523,group_1418,test
3524,group_1419,train
3525,group_1420,train
3526,group_1421,train
3527,group_1422,train
3528,group_1423,train
3529,group_1424,train
3530,group_1425,test
3531,group_1426,train
3532,group_1427,train
3533,group_1428,validation
3534,group_1429,validation
3535,group_1430,validation
3536,group_1431,train
3537,group_1432,train
3538,group_1433,test
3539,group_1434,train
3540,group_1435,test
3542,group_1436,train
3543,group_1437,test
3544,group_1438,test
3545,group_1439,train
3546,group_1440,validation
3547,group_1441,train
3549,group_1442,train
3550,group_1443,test
3551,group_1444,train
3552,group_1445,train
3553,group_1446,train
3554,group_1447,train
3556,group_1448,train
3557,group_1449,train
3558,group_1450,test
3559,group_1451,train
3560,group_1452,train
3561,group_1453,test
3563,group_1454,train
3564,group_1455,validation
3565,group_1456,train
3566,group_1457,train
3567,group_1458,train
3568,group_1459,validation
3569,group_1460,validation
3570,group_1461,train
3571,group_1462,validation
3572,group_1463,train
3573,group_1464,train
3574,group_1465,validation
3575,group_1466,train
3576,group_1467,train
3577,group_1468,test
3578,group_1469,validation
3579,group_1470,train
3580,group_1471,test
3581,group_1472,validation
3582,group_1473,train
3583,group_1474,train
3584,group_1475,train
3585,group_1476,train
