id,image_path,articleType,baseColour,gender,usage,subCategory
1578,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1578.jpg,Tshirts,Red,Men,Sports,Topwear
1580,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1580.jpg,Swimwear,Black,Women,Sports,Bottomwear
1582,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1582.jpg,Swimwear,Black,Unisex,Sports,Bottomwear
1584,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1584.jpg,Jackets,White,Unisex,Casual,Topwear
1587,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1587.jpg,Sports Shoes,White,Men,Sports,Shoes
1588,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1588.jpg,Tshirts,White,Men,Casual,Topwear
1591,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1591.jpg,Shorts,Red,Men,Sports,Bottomwear
1592,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1592.jpg,Sports Shoes,Red,Men,Sports,Shoes
1594,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1594.jpg,Casual Shoes,Grey,Unisex,Casual,Shoes
1595,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1595.jpg,Tshirts,Black,Men,Sports,Topwear
1596,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1596.jpg,Water Bottle,Pink,Men,Sports,Water Bottle
1598,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1598.jpg,Handbags,Blue,Women,Travel,Bags
1603,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1603.jpg,Sweatshirts,Navy Blue,Men,Casual,Topwear
1604,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1604.jpg,Track Pants,Blue,Women,Sports,Bottomwear
1607,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1607.jpg,Track Pants,Blue,Men,Sports,Bottomwear
1608,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1608.jpg,Track Pants,Blue,Men,Sports,Bottomwear
1611,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1611.jpg,Jackets,Black,Women,Sports,Topwear
1612,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1612.jpg,Tshirts,White,Men,Casual,Topwear
1613,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1613.jpg,Tshirts,White,Men,Casual,Topwear
1614,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1614.jpg,Tshirts,White,Men,Sports,Topwear
1615,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1615.jpg,Tshirts,Navy Blue,Men,Casual,Topwear
1616,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1616.jpg,Tshirts,White,Men,Sports,Topwear
1617,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1617.jpg,Tshirts,Red,Men,Sports,Topwear
1620,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1620.jpg,Shorts,Blue,Men,Sports,Bottomwear
1621,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1621.jpg,Shorts,Grey,Men,Sports,Bottomwear
1622,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1622.jpg,Jackets,Navy Blue,Men,Casual,Topwear
1623,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1623.jpg,Backpacks,Red,Unisex,Casual,Bags
1625,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1625.jpg,Tshirts,Red,Men,Sports,Topwear
1626,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1626.jpg,Footballs,Blue,Unisex,Sports,Sports Equipment
1627,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1627.jpg,Footballs,White,Unisex,Sports,Sports Equipment
1628,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1628.jpg,Basketballs,Brown,Unisex,Sports,Sports Equipment
1634,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1634.jpg,Sports Shoes,White,Men,Sports,Shoes
1635,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1635.jpg,Casual Shoes,Red,Unisex,Casual,Shoes
1636,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1636.jpg,Sports Shoes,White,Men,Sports,Shoes
1637,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1637.jpg,Sports Shoes,White,Men,Sports,Shoes
1638,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1638.jpg,Swimwear,Blue,Unisex,Sports,Bottomwear
1642,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1642.jpg,Sports Shoes,White,Men,Sports,Shoes
1644,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1644.jpg,Tshirts,Red,Men,Sports,Topwear
1645,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1645.jpg,Tshirts,Black,Men,Sports,Topwear
1648,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1648.jpg,Backpacks,Pink,Women,Travel,Bags
1649,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1649.jpg,Casual Shoes,Blue,Unisex,Casual,Shoes
1653,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1653.jpg,Sports Shoes,Brown,Men,Sports,Shoes
1654,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1654.jpg,Sports Shoes,White,Men,Sports,Shoes
1656,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1656.jpg,Caps,Blue,Unisex,Sports,Headwear
1657,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1657.jpg,Sports Shoes,White,Men,Sports,Shoes
1658,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1658.jpg,Jackets,Blue,Men,Sports,Topwear
1662,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1662.jpg,Jackets,Navy Blue,Men,Sports,Topwear
1670,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1670.jpg,Tshirts,Grey,Men,Casual,Topwear
1671,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1671.jpg,Tshirts,Black,Men,Casual,Topwear
1673,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1673.jpg,Tshirts,Black,Men,Sports,Topwear
1678,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1678.jpg,Tshirts,Green,Men,Casual,Topwear
1697,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1697.jpg,Backpacks,Black,Unisex,Sports,Bags
1727,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1727.jpg,Casual Shoes,Black,Unisex,Casual,Shoes
1728,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1728.jpg,Sports Shoes,Green,Unisex,Sports,Shoes
1729,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1729.jpg,Casual Shoes,White,Unisex,Casual,Shoes
1730,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1730.jpg,Sports Shoes,Black,Women,Sports,Shoes
1731,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1731.jpg,Sports Shoes,White,Women,Sports,Shoes
1752,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1752.jpg,Tshirts,Red,Men,Sports,Topwear
1754,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1754.jpg,Tshirts,Black,Men,Sports,Topwear
1756,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1756.jpg,Tshirts,White,Men,Sports,Topwear
1758,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1758.jpg,Jackets,White,Men,Sports,Topwear
1759,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1759.jpg,Tshirts,Grey,Men,Sports,Topwear
1760,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1760.jpg,Tshirts,White,Men,Sports,Topwear
1764,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1764.jpg,Track Pants,Black,Women,Sports,Bottomwear
1765,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1765.jpg,Tshirts,White,Women,Casual,Topwear
1766,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1766.jpg,Tshirts,Blue,Men,Casual,Topwear
1782,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1782.jpg,Sports Shoes,Black,Men,Sports,Shoes
1783,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1783.jpg,Sandals,Grey,Men,Sports,Sandal
1784,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1784.jpg,Sports Shoes,White,Men,Sports,Shoes
1785,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1785.jpg,Sports Shoes,White,Men,Sports,Shoes
1788,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1788.jpg,Sports Shoes,White,Men,Sports,Shoes
1789,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1789.jpg,Sports Shoes,Orange,Men,Sports,Shoes
1793,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1793.jpg,Backpacks,Green,Unisex,Travel,Bags
1795,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1795.jpg,Backpacks,Black,Men,Sports,Bags
1796,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1796.jpg,Tshirts,Blue,Men,Sports,Topwear
1799,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1799.jpg,Track Pants,White,Men,Sports,Bottomwear
1800,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1800.jpg,Backpacks,Black,Unisex,Sports,Bags
1802,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1802.jpg,Sports Shoes,Brown,Men,Sports,Shoes
1804,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1804.jpg,Shorts,Black,Men,Sports,Bottomwear
1805,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1805.jpg,Casual Shoes,Beige,Men,Casual,Shoes
1809,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1809.jpg,Tshirts,Blue,Women,Sports,Topwear
1810,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1810.jpg,Tshirts,Red,Men,Sports,Topwear
1811,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1811.jpg,Tshirts,Orange,Men,Sports,Topwear
1812,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1812.jpg,Tshirts,Green,Men,Sports,Topwear
1813,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1813.jpg,Tshirts,Blue,Men,Sports,Topwear
1827,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1827.jpg,Sports Shoes,White,Men,Sports,Shoes
1828,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1828.jpg,Sports Shoes,White,Men,Sports,Shoes
1831,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1831.jpg,Sports Shoes,Black,Men,Sports,Shoes
1832,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1832.jpg,Sports Shoes,Black,Men,Sports,Shoes
1833,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1833.jpg,Sports Shoes,Black,Men,Sports,Shoes
1836,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1836.jpg,Sports Shoes,Silver,Men,Sports,Shoes
1841,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1841.jpg,Sports Shoes,White,Men,Sports,Shoes
1842,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1842.jpg,Sports Shoes,White,Men,Sports,Shoes
1844,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1844.jpg,Tshirts,Blue,Men,Casual,Topwear
1846,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1846.jpg,Tshirts,Blue,Men,Casual,Topwear
1847,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1847.jpg,Tshirts,Blue,Men,Casual,Topwear
1848,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1848.jpg,Tshirts,Black,Men,Casual,Topwear
1849,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1849.jpg,Tshirts,White,Men,Casual,Topwear
1852,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1852.jpg,Tshirts,Blue,Men,Casual,Topwear
1853,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1853.jpg,Tshirts,Yellow,Men,Casual,Topwear
1854,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1854.jpg,Tshirts,Purple,Men,Casual,Topwear
1855,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1855.jpg,Tshirts,Grey,Men,Casual,Topwear
1856,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1856.jpg,Tshirts,Red,Men,Casual,Topwear
1857,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1857.jpg,Tshirts,Black,Men,Casual,Topwear
1859,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1859.jpg,Tshirts,Red,Men,Casual,Topwear
1862,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1862.jpg,Tshirts,Grey,Men,Casual,Topwear
1863,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1863.jpg,Tshirts,Black,Men,Casual,Topwear
1865,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1865.jpg,Tshirts,White,Men,Casual,Topwear
1866,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1866.jpg,Tshirts,Maroon,Men,Casual,Topwear
1868,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1868.jpg,Tshirts,White,Men,Casual,Topwear
1869,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1869.jpg,Tshirts,Navy Blue,Men,Casual,Topwear
1870,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1870.jpg,Tshirts,Black,Men,Casual,Topwear
1871,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1871.jpg,Tshirts,White,Men,Casual,Topwear
1872,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1872.jpg,Tshirts,White,Men,Casual,Topwear
1875,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1875.jpg,Tshirts,Green,Men,Casual,Topwear
1876,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1876.jpg,Tshirts,White,Men,Casual,Topwear
1877,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1877.jpg,Tshirts,Grey,Men,Casual,Topwear
1881,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1881.jpg,Tshirts,Grey,Men,Casual,Topwear
1882,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1882.jpg,Tshirts,Red,Men,Casual,Topwear
1883,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1883.jpg,Track Pants,Grey,Men,Casual,Bottomwear
1887,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1887.jpg,Tshirts,Green,Men,Casual,Topwear
1889,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1889.jpg,Tshirts,Navy Blue,Men,Casual,Topwear
1890,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1890.jpg,Tshirts,Red,Men,Casual,Topwear
1891,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1891.jpg,Tshirts,White,Men,Casual,Topwear
1892,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1892.jpg,Sweatshirts,Blue,Men,Casual,Topwear
1895,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1895.jpg,Sweatshirts,Black,Men,Casual,Topwear
1897,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1897.jpg,Tshirts,Blue,Men,Sports,Topwear
1903,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1903.jpg,Tshirts,Yellow,Men,Sports,Topwear
1905,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1905.jpg,Tshirts,Blue,Men,Casual,Topwear
1907,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1907.jpg,Tshirts,Black,Men,Sports,Topwear
1909,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1909.jpg,Tshirts,Blue,Men,Sports,Topwear
1910,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1910.jpg,Tshirts,Black,Men,Sports,Topwear
1911,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1911.jpg,Tshirts,Blue,Men,Sports,Topwear
1912,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1912.jpg,Tshirts,White,Men,Sports,Topwear
1916,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1916.jpg,Sports Shoes,Black,Men,Sports,Shoes
1922,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1922.jpg,Tshirts,Black,Men,Sports,Topwear
1923,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1923.jpg,Sports Shoes,White,Women,Sports,Shoes
1925,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1925.jpg,Backpacks,Black,Unisex,Sports,Bags
1926,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1926.jpg,Tshirts,Blue,Men,Casual,Topwear
1927,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1927.jpg,Backpacks,Navy Blue,Unisex,Sports,Bags
1928,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1928.jpg,Tshirts,Green,Men,Casual,Topwear
1929,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1929.jpg,Sports Shoes,Black,Men,Sports,Shoes
1930,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1930.jpg,Backpacks,Red,Unisex,Sports,Bags
1931,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1931.jpg,Tshirts,Navy Blue,Men,Casual,Topwear
1932,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1932.jpg,Casual Shoes,Grey,Women,Casual,Shoes
1934,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1934.jpg,Backpacks,Purple,Unisex,Sports,Bags
1935,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1935.jpg,Backpacks,Black,Unisex,Sports,Bags
1936,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1936.jpg,Backpacks,Brown,Unisex,Sports,Bags
1937,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1937.jpg,Sports Shoes,Black,Women,Sports,Shoes
1938,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1938.jpg,Tshirts,Blue,Men,Casual,Topwear
1939,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1939.jpg,Handbags,Blue,Women,Sports,Bags
1941,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1941.jpg,Handbags,Brown,Women,Sports,Bags
1942,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1942.jpg,Tshirts,White,Men,Casual,Topwear
1943,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1943.jpg,Duffel Bag,Grey,Unisex,Casual,Bags
1944,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1944.jpg,Tshirts,Blue,Men,Casual,Topwear
1948,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1948.jpg,Tshirts,Black,Men,Casual,Topwear
1950,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1950.jpg,Tshirts,Black,Men,Casual,Topwear
1951,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1951.jpg,Sports Shoes,Purple,Women,Sports,Shoes
1962,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1962.jpg,Sports Shoes,White,Men,Sports,Shoes
1963,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1963.jpg,Sports Shoes,White,Men,Sports,Shoes
1964,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1964.jpg,Casual Shoes,Blue,Men,Casual,Shoes
1966,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1966.jpg,Tshirts,Black,Men,Casual,Topwear
1973,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1973.jpg,Tshirts,Brown,Men,Casual,Topwear
1978,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1978.jpg,Tops,Yellow,Women,Casual,Topwear
1981,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1981.jpg,Shorts,Green,Women,Casual,Bottomwear
1983,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1983.jpg,Tshirts,Blue,Women,Casual,Topwear
1984,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1984.jpg,Tshirts,White,Women,Sports,Topwear
1985,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1985.jpg,Tshirts,Red,Women,Casual,Topwear
1988,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1988.jpg,Tshirts,Red,Women,Sports,Topwear
1989,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1989.jpg,Tshirts,Black,Women,Sports,Topwear
1990,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1990.jpg,Tshirts,Green,Women,Sports,Topwear
1991,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1991.jpg,Tshirts,Blue,Women,Casual,Topwear
1993,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1993.jpg,Tshirts,Grey,Women,Casual,Topwear
1994,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1994.jpg,Tshirts,Yellow,Women,Sports,Topwear
1996,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1996.jpg,Tshirts,Grey,Men,Sports,Topwear
1997,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1997.jpg,Shorts,Grey,Men,Sports,Bottomwear
1998,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\1998.jpg,Tshirts,Black,Men,Sports,Topwear
2001,D:\khoile\programs\fashion-intelligence-classification\dataset\train\images_train\2001.jpg,Tshirts,Grey,Men,Sports,Topwear
